file_name,angle_nge2,angle_nge1,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10
DU91-W2-250_199,69.1131,69.2247,69.3975,69.5905,70.5673,71.6189,72.7486,73.9523,74.8896,75.6318,77.6046,78.2908,78.1667
DU91-W2-250_200,68.3068,68.2535,68.3128,68.4595,69.2112,70.0235,70.9938,71.9696,72.6888,72.9955,73.2872,73.1145,72.7335
DU91-W2-250_201,68.0592,68.1172,68.2556,68.37,69.1765,70.1559,71.167,72.0888,72.9131,73.3717,73.682,73.4896,73.1604
DU91-W2-250_202,67.7199,67.7017,67.743,67.8413,68.5506,69.3745,70.289,71.1853,71.9672,72.2498,72.4368,72.332,71.5516
DU91-W2-250_203,67.8746,67.8725,67.9237,67.9976,68.6906,69.5524,70.4876,71.3364,72.0519,72.3238,72.5168,72.3331,71.5313
DU91-W2-250_204,68.038,68.0506,68.1522,68.2066,68.9002,69.7439,70.6711,71.5677,72.3077,72.5415,72.7127,72.5903,71.779
DU91-W2-250_205,67.6081,67.5871,67.6274,67.6956,68.3696,69.1979,70.1559,70.9672,71.6607,71.902,72.0462,71.8785,71.0468
DU91-W2-250_206,67.8282,67.8162,67.8776,67.9998,68.7069,69.5175,70.4453,71.3361,72.0846,72.3973,72.6165,72.3421,71.5753
DU91-W2-250_207,67.4644,67.3979,67.4157,67.4919,68.0865,68.8176,69.6725,70.4713,71.1423,71.3207,71.5914,71.364,70.7121
DU91-W2-250_208,67.7662,67.7789,67.8585,67.9688,68.6744,69.5122,70.463,71.3656,72.1361,72.4508,72.653,72.3651,71.6078
DU91-W2-250_209,67.8471,67.7413,67.7277,67.78,68.3586,69.0975,69.9299,70.693,71.3614,71.472,71.6922,71.3708,70.5523
DU91-W2-250_210,67.8877,67.8531,67.8926,68.0028,68.6983,69.4694,70.3619,71.2326,71.9858,72.2039,72.5069,72.5771,72.8275
DU91-W2-250_211,68.1974,68.201,68.2893,68.4435,69.1836,70.0227,70.9889,71.951,72.6822,72.9692,73.1939,73.0537,72.5087
DU91-W2-250_212,67.838,67.876,67.9459,68.0648,68.8719,69.7376,70.6993,71.6385,72.4617,72.8412,73.0476,72.8355,72.2585
DU91-W2-250_213,67.6077,67.6505,67.738,67.8312,68.6227,69.4865,70.4605,71.4139,72.1992,72.5025,72.7723,72.554,72.0364
DU91-W2-250_214,67.9873,67.9949,68.0595,68.1696,68.9098,69.8028,70.7047,71.5823,72.3026,72.6133,72.9029,72.9227,74.2532
DU91-W2-250_215,68.5623,68.5719,68.6721,68.8627,69.6128,70.5021,71.505,72.5105,73.2495,73.6024,73.8431,73.6149,72.861
DU91-W2-250_216,67.9657,67.9495,68.0119,68.1242,68.9159,69.7453,70.6815,71.5978,72.3939,72.7012,72.8803,72.6872,72.0283
DU91-W2-250_217,67.9857,68.068,68.2229,68.3385,69.1359,70.1118,71.1115,72.0492,72.9092,73.3174,73.6781,73.5046,73.3299
DU91-W2-250_218,67.429,67.4329,67.4709,67.4942,68.1242,68.9045,69.7822,70.6475,71.3426,71.5294,71.7756,71.6231,71.0354
DU91-W2-250_219,67.6833,67.6961,67.7523,67.7743,68.4335,69.2329,70.1561,71.0383,71.7249,71.9462,72.1972,72.0377,71.3332
DU91-W2-250_220,67.6527,67.7172,67.7621,67.8259,68.5643,69.4714,70.4507,71.3232,72.0713,72.4147,72.6394,72.3507,71.6715
DU91-W2-250_221,67.5194,67.5057,67.5587,67.6181,68.3039,69.0921,69.9895,70.8177,71.525,71.7685,71.9446,71.77,70.98
